experiment	cell	model	metric	value
E16-baseline	g5-groceries	llama	strict_P_lt	0.0307
E16-baseline	g5-groceries	llama	strict_R_lt	0.7143
E16-baseline	g5-groceries	llama	cred_P_lt	0.046
E16-baseline	g5-groceries	llama	n_assert	431
E16-H1	g5-groceries	llama	strict_macro_f1	0.2631
E16-H1	g5-groceries	llama	credited_macro_f1	0.2783
E16-H1	g5-groceries	llama	d_strict_f1	-0.0066
E16-H1	g5-groceries	llama	d_credited_f1	-0.0044
E16-H1	g5-groceries	llama	strict_P_lt	0.0383
E16-H1	g5-groceries	llama	strict_R_lt	0.7143
E16-H1	g5-groceries	llama	cred_P_lt	0.0575
E16-H1	g5-groceries	llama	n_assert	364
E16-H2	g5-groceries	llama	strict_macro_f1	0.2756
E16-H2	g5-groceries	llama	credited_macro_f1	0.2817
E16-H2	g5-groceries	llama	d_strict_f1	0.0059
E16-H2	g5-groceries	llama	d_credited_f1	-0.0011
E16-H2	g5-groceries	llama	strict_P_lt	0.0392
E16-H2	g5-groceries	llama	strict_R_lt	0.7143
E16-H2	g5-groceries	llama	cred_P_lt	0.0431
E16-H2	g5-groceries	llama	n_assert	356
E16-H3	g5-groceries	llama	strict_macro_f1	0.3185
E16-H3	g5-groceries	llama	credited_macro_f1	0.3236
E16-H3	g5-groceries	llama	d_strict_f1	0.0488
E16-H3	g5-groceries	llama	d_credited_f1	0.0409
E16-H3	g5-groceries	llama	strict_P_lt	0.1509
E16-H3	g5-groceries	llama	strict_R_lt	0.5714
E16-H3	g5-groceries	llama	cred_P_lt	0.1509
E16-H3	g5-groceries	llama	n_assert	99
E16-combined	g5-groceries	llama	strict_macro_f1	0.3155
E16-combined	g5-groceries	llama	credited_macro_f1	0.3206
E16-combined	g5-groceries	llama	d_strict_f1	0.0457
E16-combined	g5-groceries	llama	d_credited_f1	0.0378
E16-combined	g5-groceries	llama	strict_P_lt	0.1698
E16-combined	g5-groceries	llama	strict_R_lt	0.6429
E16-combined	g5-groceries	llama	cred_P_lt	0.1698
E16-combined	g5-groceries	llama	n_assert	98
E16-baseline	g7-literature	llama	strict_macro_f1	0.4807
E16-baseline	g7-literature	llama	credited_macro_f1	0.5061
E16-baseline	g7-literature	llama	d_strict_f1	0.0
E16-baseline	g7-literature	llama	d_credited_f1	0.0
E16-baseline	g7-literature	llama	strict_P_lt	0.0471
E16-baseline	g7-literature	llama	strict_R_lt	0.8889
E16-baseline	g7-literature	llama	cred_P_lt	0.0912
E16-baseline	g7-literature	llama	n_assert	377
E16-H1	g7-literature	llama	strict_macro_f1	0.4419
E16-H1	g7-literature	llama	credited_macro_f1	0.4697
E16-H1	g7-literature	llama	d_strict_f1	-0.0388
E16-H1	g7-literature	llama	d_credited_f1	-0.0364
E16-H1	g7-literature	llama	strict_P_lt	0.0485
E16-H1	g7-literature	llama	strict_R_lt	0.8333
E16-H1	g7-literature	llama	cred_P_lt	0.0971
E16-H1	g7-literature	llama	n_assert	342
E16-H2	g7-literature	llama	strict_macro_f1	0.4892
E16-H2	g7-literature	llama	credited_macro_f1	0.4892
E16-H2	g7-literature	llama	d_strict_f1	0.0084
E16-H2	g7-literature	llama	d_credited_f1	-0.0169
E16-H2	g7-literature	llama	strict_P_lt	0.0613
E16-H2	g7-literature	llama	strict_R_lt	0.8889
E16-H2	g7-literature	llama	cred_P_lt	0.0613
E16-H2	g7-literature	llama	n_assert	298
E16-H3	g7-literature	llama	strict_macro_f1	0.4672
E16-H3	g7-literature	llama	credited_macro_f1	0.4672
E16-H3	g7-literature	llama	d_strict_f1	-0.0135
E16-H3	g7-literature	llama	d_credited_f1	-0.0389
E16-H3	g7-literature	llama	strict_P_lt	0.325
E16-H3	g7-literature	llama	strict_R_lt	0.7222
E16-H3	g7-literature	llama	cred_P_lt	0.325
E16-H3	g7-literature	llama	n_assert	58
E16-combined	g7-literature	llama	strict_macro_f1	0.4161
E16-combined	g7-literature	llama	credited_macro_f1	0.4161
E16-combined	g7-literature	llama	d_strict_f1	-0.0647
E16-combined	g7-literature	llama	d_credited_f1	-0.09
E16-combined	g7-literature	llama	strict_P_lt	0.3
E16-combined	g7-literature	llama	strict_R_lt	0.6667
E16-combined	g7-literature	llama	cred_P_lt	0.3
E16-combined	g7-literature	llama	n_assert	54
E16-baseline	mouse-human	llama	strict_macro_f1	0.1716
E16-baseline	mouse-human	llama	credited_macro_f1	0.1961
E16-baseline	mouse-human	llama	d_strict_f1	0.0
E16-baseline	mouse-human	llama	d_credited_f1	0.0
E16-baseline	mouse-human	llama	strict_P_lt	0.0347
E16-baseline	mouse-human	llama	strict_R_lt	0.6
E16-baseline	mouse-human	llama	cred_P_lt	0.0768
E16-baseline	mouse-human	llama	n_assert	11528
E16-H1	mouse-human	llama	strict_macro_f1	0.1858
E16-H1	mouse-human	llama	credited_macro_f1	0.2137
E16-H1	mouse-human	llama	d_strict_f1	0.0142
E16-H1	mouse-human	llama	d_credited_f1	0.0175
E16-H1	mouse-human	llama	strict_P_lt	0.0399
E16-H1	mouse-human	llama	strict_R_lt	0.5908
E16-H1	mouse-human	llama	cred_P_lt	0.0886
E16-H1	mouse-human	llama	n_assert	9730
E16-H2	mouse-human	llama	strict_macro_f1	0.181
E16-H2	mouse-human	llama	credited_macro_f1	0.1845
E16-H2	mouse-human	llama	d_strict_f1	0.0093
E16-H2	mouse-human	llama	d_credited_f1	-0.0116
E16-H2	mouse-human	llama	strict_P_lt	0.0508
E16-H2	mouse-human	llama	strict_R_lt	0.6
E16-H2	mouse-human	llama	cred_P_lt	0.0566
E16-H2	mouse-human	llama	n_assert	8549
E16-H3	mouse-human	llama	strict_macro_f1	0.1993
E16-H3	mouse-human	llama	credited_macro_f1	0.2075
E16-H3	mouse-human	llama	d_strict_f1	0.0276
E16-H3	mouse-human	llama	d_credited_f1	0.0113
E16-H3	mouse-human	llama	strict_P_lt	0.0936
E16-H3	mouse-human	llama	strict_R_lt	0.3596
E16-H3	mouse-human	llama	cred_P_lt	0.1089
E16-H3	mouse-human	llama	n_assert	4207
E16-combined	mouse-human	llama	strict_macro_f1	0.214
E16-combined	mouse-human	llama	credited_macro_f1	0.2236
E16-combined	mouse-human	llama	d_strict_f1	0.0424
E16-combined	mouse-human	llama	d_credited_f1	0.0275
E16-combined	mouse-human	llama	strict_P_lt	0.1006
E16-combined	mouse-human	llama	strict_R_lt	0.3835
E16-combined	mouse-human	llama	cred_P_lt	0.1184
E16-combined	mouse-human	llama	n_assert	3728
E16-baseline	vdi-ebay	llama	strict_macro_f1	0.0406
E16-baseline	vdi-ebay	llama	credited_macro_f1	0.0814
E16-baseline	vdi-ebay	llama	d_strict_f1	0.0
E16-baseline	vdi-ebay	llama	d_credited_f1	0.0
E16-baseline	vdi-ebay	llama	strict_P_lt	0.0478
E16-baseline	vdi-ebay	llama	strict_R_lt	0.6132
E16-baseline	vdi-ebay	llama	cred_P_lt	0.1209
E16-baseline	vdi-ebay	llama	n_assert	5965
E16-H1	vdi-ebay	llama	strict_macro_f1	0.0406
E16-H1	vdi-ebay	llama	credited_macro_f1	0.0829
E16-H1	vdi-ebay	llama	d_strict_f1	0.0
E16-H1	vdi-ebay	llama	d_credited_f1	0.0015
E16-H1	vdi-ebay	llama	strict_P_lt	0.0472
E16-H1	vdi-ebay	llama	strict_R_lt	0.5825
E16-H1	vdi-ebay	llama	cred_P_lt	0.123
E16-H1	vdi-ebay	llama	n_assert	5621
E16-H2	vdi-ebay	llama	strict_macro_f1	0.0505
E16-H2	vdi-ebay	llama	credited_macro_f1	0.053
E16-H2	vdi-ebay	llama	d_strict_f1	0.0099
E16-H2	vdi-ebay	llama	d_credited_f1	-0.0284
E16-H2	vdi-ebay	llama	strict_P_lt	0.0655
E16-H2	vdi-ebay	llama	strict_R_lt	0.6132
E16-H2	vdi-ebay	llama	cred_P_lt	0.0698
E16-H2	vdi-ebay	llama	n_assert	4493
E16-H3	vdi-ebay	llama	strict_macro_f1	0.0894
E16-H3	vdi-ebay	llama	credited_macro_f1	0.0986
E16-H3	vdi-ebay	llama	d_strict_f1	0.0488
E16-H3	vdi-ebay	llama	d_credited_f1	0.0172
E16-H3	vdi-ebay	llama	strict_P_lt	0.2148
E16-H3	vdi-ebay	llama	strict_R_lt	0.2594
E16-H3	vdi-ebay	llama	cred_P_lt	0.2402
E16-H3	vdi-ebay	llama	n_assert	1035
E16-combined	vdi-ebay	llama	strict_macro_f1	0.087
E16-combined	vdi-ebay	llama	credited_macro_f1	0.097
E16-combined	vdi-ebay	llama	d_strict_f1	0.0464
E16-combined	vdi-ebay	llama	d_credited_f1	0.0155
E16-combined	vdi-ebay	llama	strict_P_lt	0.207
E16-combined	vdi-ebay	llama	strict_R_lt	0.25
E16-combined	vdi-ebay	llama	cred_P_lt	0.2344
E16-combined	vdi-ebay	llama	n_assert	896
E16-baseline	g3-text	mistral	strict_macro_f1	0.2138
E16-baseline	g3-text	mistral	credited_macro_f1	0.2146
E16-baseline	g3-text	mistral	d_strict_f1	0.0
E16-baseline	g3-text	mistral	d_credited_f1	0.0
E16-baseline	g3-text	mistral	strict_P_lt	0.123
E16-baseline	g3-text	mistral	strict_R_lt	0.8306
E16-baseline	g3-text	mistral	cred_P_lt	0.1243
E16-baseline	g3-text	mistral	n_assert	3202
E16-H1	g3-text	mistral	strict_macro_f1	0.1892
E16-H1	g3-text	mistral	credited_macro_f1	0.19
E16-H1	g3-text	mistral	d_strict_f1	-0.0246
E16-H1	g3-text	mistral	d_credited_f1	-0.0245
E16-H1	g3-text	mistral	strict_P_lt	0.1306
E16-H1	g3-text	mistral	strict_R_lt	0.7271
E16-H1	g3-text	mistral	cred_P_lt	0.1323
E16-H1	g3-text	mistral	n_assert	2526
E16-H2	g3-text	mistral	strict_macro_f1	0.2143
E16-H2	g3-text	mistral	credited_macro_f1	0.2146
E16-H2	g3-text	mistral	d_strict_f1	0.0005
E16-H2	g3-text	mistral	d_credited_f1	-0.0
E16-H2	g3-text	mistral	strict_P_lt	0.1239
E16-H2	g3-text	mistral	strict_R_lt	0.8306
E16-H2	g3-text	mistral	cred_P_lt	0.1243
E16-H2	g3-text	mistral	n_assert	3179
E16-H3	g3-text	mistral	strict_macro_f1	0.1987
E16-H3	g3-text	mistral	credited_macro_f1	0.1996
E16-H3	g3-text	mistral	d_strict_f1	-0.0151
E16-H3	g3-text	mistral	d_credited_f1	-0.015
E16-H3	g3-text	mistral	strict_P_lt	0.2222
E16-H3	g3-text	mistral	strict_R_lt	0.1741
E16-H3	g3-text	mistral	cred_P_lt	0.2252
E16-H3	g3-text	mistral	n_assert	655
E16-combined	g3-text	mistral	strict_macro_f1	0.168
E16-combined	g3-text	mistral	credited_macro_f1	0.1689
E16-combined	g3-text	mistral	d_strict_f1	-0.0458
E16-combined	g3-text	mistral	d_credited_f1	-0.0457
E16-combined	g3-text	mistral	strict_P_lt	0.2108
E16-combined	g3-text	mistral	strict_R_lt	0.1647
E16-combined	g3-text	mistral	cred_P_lt	0.2139
E16-combined	g3-text	mistral	n_assert	484
E16-baseline	g5-groceries	mistral	strict_macro_f1	0.2418
E16-baseline	g5-groceries	mistral	credited_macro_f1	0.2578
E16-baseline	g5-groceries	mistral	d_strict_f1	0.0
E16-baseline	g5-groceries	mistral	d_credited_f1	0.0
E16-baseline	g5-groceries	mistral	strict_P_lt	0.0184
E16-baseline	g5-groceries	mistral	strict_R_lt	0.8571
E16-baseline	g5-groceries	mistral	cred_P_lt	0.0276
E16-baseline	g5-groceries	mistral	n_assert	730
E16-H1	g5-groceries	mistral	strict_macro_f1	0.1996
E16-H1	g5-groceries	mistral	credited_macro_f1	0.216
E16-H1	g5-groceries	mistral	d_strict_f1	-0.0423
E16-H1	g5-groceries	mistral	d_credited_f1	-0.0418
E16-H1	g5-groceries	mistral	strict_P_lt	0.02
E16-H1	g5-groceries	mistral	strict_R_lt	0.8571
E16-H1	g5-groceries	mistral	cred_P_lt	0.0301
E16-H1	g5-groceries	mistral	n_assert	667
E16-H2	g5-groceries	mistral	strict_macro_f1	0.2442
E16-H2	g5-groceries	mistral	credited_macro_f1	0.2556
E16-H2	g5-groceries	mistral	d_strict_f1	0.0024
E16-H2	g5-groceries	mistral	d_credited_f1	-0.0022
E16-H2	g5-groceries	mistral	strict_P_lt	0.0221
E16-H2	g5-groceries	mistral	strict_R_lt	0.8571
E16-H2	g5-groceries	mistral	cred_P_lt	0.0239
E16-H2	g5-groceries	mistral	n_assert	621
E16-H3	g5-groceries	mistral	strict_macro_f1	0.2717
E16-H3	g5-groceries	mistral	credited_macro_f1	0.282
E16-H3	g5-groceries	mistral	d_strict_f1	0.0299
E16-H3	g5-groceries	mistral	d_credited_f1	0.0242
E16-H3	g5-groceries	mistral	strict_P_lt	0.0893
E16-H3	g5-groceries	mistral	strict_R_lt	0.3571
E16-H3	g5-groceries	mistral	cred_P_lt	0.0893
E16-H3	g5-groceries	mistral	n_assert	97
E16-combined	g5-groceries	mistral	strict_macro_f1	0.2284
E16-combined	g5-groceries	mistral	credited_macro_f1	0.2387
E16-combined	g5-groceries	mistral	d_strict_f1	-0.0134
E16-combined	g5-groceries	mistral	d_credited_f1	-0.0191
E16-combined	g5-groceries	mistral	strict_P_lt	0.0893
E16-combined	g5-groceries	mistral	strict_R_lt	0.3571
E16-combined	g5-groceries	mistral	cred_P_lt	0.0893
E16-combined	g5-groceries	mistral	n_assert	87
E16-baseline	g7-literature	mistral	strict_macro_f1	0.2475
E16-baseline	g7-literature	mistral	credited_macro_f1	0.2671
E16-baseline	g7-literature	mistral	d_strict_f1	0.0
E16-baseline	g7-literature	mistral	d_credited_f1	0.0
E16-baseline	g7-literature	mistral	strict_P_lt	0.026
E16-baseline	g7-literature	mistral	strict_R_lt	0.7222
E16-baseline	g7-literature	mistral	cred_P_lt	0.058
E16-baseline	g7-literature	mistral	n_assert	514
E16-H1	g7-literature	mistral	strict_macro_f1	0.1306
E16-H1	g7-literature	mistral	credited_macro_f1	0.1532
E16-H1	g7-literature	mistral	d_strict_f1	-0.1169
E16-H1	g7-literature	mistral	d_credited_f1	-0.1139
E16-H1	g7-literature	mistral	strict_P_lt	0.0304
E16-H1	g7-literature	mistral	strict_R_lt	0.7222
E16-H1	g7-literature	mistral	cred_P_lt	0.0679
E16-H1	g7-literature	mistral	n_assert	433
E16-H2	g7-literature	mistral	strict_macro_f1	0.2517
E16-H2	g7-literature	mistral	credited_macro_f1	0.2533
E16-H2	g7-literature	mistral	d_strict_f1	0.0042
E16-H2	g7-literature	mistral	d_credited_f1	-0.0138
E16-H2	g7-literature	mistral	strict_P_lt	0.0327
E16-H2	g7-literature	mistral	strict_R_lt	0.7222
E16-H2	g7-literature	mistral	cred_P_lt	0.0353
E16-H2	g7-literature	mistral	n_assert	411
E16-H3	g7-literature	mistral	strict_macro_f1	0.3457
E16-H3	g7-literature	mistral	credited_macro_f1	0.3457
E16-H3	g7-literature	mistral	d_strict_f1	0.0982
E16-H3	g7-literature	mistral	d_credited_f1	0.0786
E16-H3	g7-literature	mistral	strict_P_lt	0.25
E16-H3	g7-literature	mistral	strict_R_lt	0.5556
E16-H3	g7-literature	mistral	cred_P_lt	0.25
E16-H3	g7-literature	mistral	n_assert	54
E16-combined	g7-literature	mistral	strict_macro_f1	0.2261
E16-combined	g7-literature	mistral	credited_macro_f1	0.2261
E16-combined	g7-literature	mistral	d_strict_f1	-0.0214
E16-combined	g7-literature	mistral	d_credited_f1	-0.041
E16-combined	g7-literature	mistral	strict_P_lt	0.25
E16-combined	g7-literature	mistral	strict_R_lt	0.5556
E16-combined	g7-literature	mistral	cred_P_lt	0.25
E16-combined	g7-literature	mistral	n_assert	46
E16-baseline	mouse-human	mistral	strict_macro_f1	0.1843
E16-baseline	mouse-human	mistral	credited_macro_f1	0.2076
E16-baseline	mouse-human	mistral	d_strict_f1	0.0
E16-baseline	mouse-human	mistral	d_credited_f1	0.0
E16-baseline	mouse-human	mistral	strict_P_lt	0.0201
E16-baseline	mouse-human	mistral	strict_R_lt	0.7431
E16-baseline	mouse-human	mistral	cred_P_lt	0.0431
E16-baseline	mouse-human	mistral	n_assert	22640
E16-H1	mouse-human	mistral	strict_macro_f1	0.1639
E16-H1	mouse-human	mistral	credited_macro_f1	0.188
E16-H1	mouse-human	mistral	d_strict_f1	-0.0204
E16-H1	mouse-human	mistral	d_credited_f1	-0.0197
E16-H1	mouse-human	mistral	strict_P_lt	0.0211
E16-H1	mouse-human	mistral	strict_R_lt	0.7321
E16-H1	mouse-human	mistral	cred_P_lt	0.0455
E16-H1	mouse-human	mistral	n_assert	20587
E16-H2	mouse-human	mistral	strict_macro_f1	0.1901
E16-H2	mouse-human	mistral	credited_macro_f1	0.1991
E16-H2	mouse-human	mistral	d_strict_f1	0.0058
E16-H2	mouse-human	mistral	d_credited_f1	-0.0085
E16-H2	mouse-human	mistral	strict_P_lt	0.0285
E16-H2	mouse-human	mistral	strict_R_lt	0.7431
E16-H2	mouse-human	mistral	cred_P_lt	0.0292
E16-H2	mouse-human	mistral	n_assert	16674
E16-H3	mouse-human	mistral	strict_macro_f1	0.2102
E16-H3	mouse-human	mistral	credited_macro_f1	0.2159
E16-H3	mouse-human	mistral	d_strict_f1	0.0259
E16-H3	mouse-human	mistral	d_credited_f1	0.0083
E16-H3	mouse-human	mistral	strict_P_lt	0.0858
E16-H3	mouse-human	mistral	strict_R_lt	0.3743
E16-H3	mouse-human	mistral	cred_P_lt	0.0892
E16-H3	mouse-human	mistral	n_assert	4712
E16-combined	mouse-human	mistral	strict_macro_f1	0.189
E16-combined	mouse-human	mistral	credited_macro_f1	0.1945
E16-combined	mouse-human	mistral	d_strict_f1	0.0047
E16-combined	mouse-human	mistral	d_credited_f1	-0.0131
E16-combined	mouse-human	mistral	strict_P_lt	0.0856
E16-combined	mouse-human	mistral	strict_R_lt	0.3725
E16-combined	mouse-human	mistral	cred_P_lt	0.0885
E16-combined	mouse-human	mistral	n_assert	3946
E16-baseline	vdi-ebay	mistral	strict_macro_f1	0.0447
E16-baseline	vdi-ebay	mistral	credited_macro_f1	0.082
E16-baseline	vdi-ebay	mistral	d_strict_f1	0.0
E16-baseline	vdi-ebay	mistral	d_credited_f1	0.0
E16-baseline	vdi-ebay	mistral	strict_P_lt	0.0366
E16-baseline	vdi-ebay	mistral	strict_R_lt	0.7571
E16-baseline	vdi-ebay	mistral	cred_P_lt	0.1005
E16-baseline	vdi-ebay	mistral	n_assert	9047
E16-H1	vdi-ebay	mistral	strict_macro_f1	0.0503
E16-H1	vdi-ebay	mistral	credited_macro_f1	0.0882
E16-H1	vdi-ebay	mistral	d_strict_f1	0.0056
E16-H1	vdi-ebay	mistral	d_credited_f1	0.0062
E16-H1	vdi-ebay	mistral	strict_P_lt	0.037
E16-H1	vdi-ebay	mistral	strict_R_lt	0.7524
E16-H1	vdi-ebay	mistral	cred_P_lt	0.102
E16-H1	vdi-ebay	mistral	n_assert	8812
E16-H2	vdi-ebay	mistral	strict_macro_f1	0.0526
E16-H2	vdi-ebay	mistral	credited_macro_f1	0.0538
E16-H2	vdi-ebay	mistral	d_strict_f1	0.0079
E16-H2	vdi-ebay	mistral	d_credited_f1	-0.0281
E16-H2	vdi-ebay	mistral	strict_P_lt	0.0498
E16-H2	vdi-ebay	mistral	strict_R_lt	0.7571
E16-H2	vdi-ebay	mistral	cred_P_lt	0.0518
E16-H2	vdi-ebay	mistral	n_assert	6726
E16-H3	vdi-ebay	mistral	strict_macro_f1	0.0968
E16-H3	vdi-ebay	mistral	credited_macro_f1	0.0982
E16-H3	vdi-ebay	mistral	d_strict_f1	0.0521
E16-H3	vdi-ebay	mistral	d_credited_f1	0.0162
E16-H3	vdi-ebay	mistral	strict_P_lt	0.2062
E16-H3	vdi-ebay	mistral	strict_R_lt	0.25
E16-H3	vdi-ebay	mistral	cred_P_lt	0.2101
E16-H3	vdi-ebay	mistral	n_assert	789
E16-combined	vdi-ebay	mistral	strict_macro_f1	0.1021
E16-combined	vdi-ebay	mistral	credited_macro_f1	0.1036
E16-combined	vdi-ebay	mistral	d_strict_f1	0.0574
E16-combined	vdi-ebay	mistral	d_credited_f1	0.0216
E16-combined	vdi-ebay	mistral	strict_P_lt	0.2062
E16-combined	vdi-ebay	mistral	strict_R_lt	0.25
E16-combined	vdi-ebay	mistral	cred_P_lt	0.2101
E16-combined	vdi-ebay	mistral	n_assert	708
E16-baseline	g3-text	gemma4	strict_macro_f1	0.3571
E16-baseline	g3-text	gemma4	credited_macro_f1	0.3582
E16-baseline	g3-text	gemma4	d_strict_f1	0.0
E16-baseline	g3-text	gemma4	d_credited_f1	0.0
E16-baseline	g3-text	gemma4	strict_P_lt	0.2535
E16-baseline	g3-text	gemma4	strict_R_lt	0.8941
E16-baseline	g3-text	gemma4	cred_P_lt	0.2562
E16-baseline	g3-text	gemma4	n_assert	2303
E16-H1	g3-text	gemma4	strict_macro_f1	0.3593
E16-H1	g3-text	gemma4	credited_macro_f1	0.3604
E16-H1	g3-text	gemma4	d_strict_f1	0.0022
E16-H1	g3-text	gemma4	d_credited_f1	0.0023
E16-H1	g3-text	gemma4	strict_P_lt	0.2886
E16-H1	g3-text	gemma4	strict_R_lt	0.8659
E16-H1	g3-text	gemma4	cred_P_lt	0.2918
E16-H1	g3-text	gemma4	n_assert	1946
E16-H2	g3-text	gemma4	strict_macro_f1	0.3585
E16-H2	g3-text	gemma4	credited_macro_f1	0.3585
E16-H2	g3-text	gemma4	d_strict_f1	0.0015
E16-H2	g3-text	gemma4	d_credited_f1	0.0004
E16-H2	g3-text	gemma4	strict_P_lt	0.2562
E16-H2	g3-text	gemma4	strict_R_lt	0.8941
E16-H2	g3-text	gemma4	cred_P_lt	0.2562
E16-H2	g3-text	gemma4	n_assert	2284
E16-H3	g3-text	gemma4	strict_macro_f1	0.2551
E16-H3	g3-text	gemma4	credited_macro_f1	0.2551
E16-H3	g3-text	gemma4	d_strict_f1	-0.1019
E16-H3	g3-text	gemma4	d_credited_f1	-0.103
E16-H3	g3-text	gemma4	strict_P_lt	0.3375
E16-H3	g3-text	gemma4	strict_R_lt	0.2518
E16-H3	g3-text	gemma4	cred_P_lt	0.3375
E16-H3	g3-text	gemma4	n_assert	706
E16-combined	g3-text	gemma4	strict_macro_f1	0.2463
E16-combined	g3-text	gemma4	credited_macro_f1	0.2463
E16-combined	g3-text	gemma4	d_strict_f1	-0.1108
E16-combined	g3-text	gemma4	d_credited_f1	-0.1119
E16-combined	g3-text	gemma4	strict_P_lt	0.3633
E16-combined	g3-text	gemma4	strict_R_lt	0.2659
E16-combined	g3-text	gemma4	cred_P_lt	0.3633
E16-combined	g3-text	gemma4	n_assert	600
E16-baseline	g5-groceries	gemma4	strict_macro_f1	0.3445
E16-baseline	g5-groceries	gemma4	credited_macro_f1	0.3953
E16-baseline	g5-groceries	gemma4	d_strict_f1	0.0
E16-baseline	g5-groceries	gemma4	d_credited_f1	0.0
E16-baseline	g5-groceries	gemma4	strict_P_lt	0.0932
E16-baseline	g5-groceries	gemma4	strict_R_lt	0.7857
E16-baseline	g5-groceries	gemma4	cred_P_lt	0.1441
E16-baseline	g5-groceries	gemma4	n_assert	490
E16-H1	g5-groceries	gemma4	strict_macro_f1	0.3138
E16-H1	g5-groceries	gemma4	credited_macro_f1	0.3677
E16-H1	g5-groceries	gemma4	d_strict_f1	-0.0307
E16-H1	g5-groceries	gemma4	d_credited_f1	-0.0276
E16-H1	g5-groceries	gemma4	strict_P_lt	0.1048
E16-H1	g5-groceries	gemma4	strict_R_lt	0.7857
E16-H1	g5-groceries	gemma4	cred_P_lt	0.1619
E16-H1	g5-groceries	gemma4	n_assert	452
E16-H2	g5-groceries	gemma4	strict_macro_f1	0.3641
E16-H2	g5-groceries	gemma4	credited_macro_f1	0.3894
E16-H2	g5-groceries	gemma4	d_strict_f1	0.0197
E16-H2	g5-groceries	gemma4	d_credited_f1	-0.0059
E16-H2	g5-groceries	gemma4	strict_P_lt	0.1134
E16-H2	g5-groceries	gemma4	strict_R_lt	0.7857
E16-H2	g5-groceries	gemma4	cred_P_lt	0.134
E16-H2	g5-groceries	gemma4	n_assert	426
E16-H3	g5-groceries	gemma4	strict_macro_f1	0.3578
E16-H3	g5-groceries	gemma4	credited_macro_f1	0.3623
E16-H3	g5-groceries	gemma4	d_strict_f1	0.0134
E16-H3	g5-groceries	gemma4	d_credited_f1	-0.033
E16-H3	g5-groceries	gemma4	strict_P_lt	0.1915
E16-H3	g5-groceries	gemma4	strict_R_lt	0.6429
E16-H3	g5-groceries	gemma4	cred_P_lt	0.1915
E16-H3	g5-groceries	gemma4	n_assert	135
E16-combined	g5-groceries	gemma4	strict_macro_f1	0.3224
E16-combined	g5-groceries	gemma4	credited_macro_f1	0.3269
E16-combined	g5-groceries	gemma4	d_strict_f1	-0.022
E16-combined	g5-groceries	gemma4	d_credited_f1	-0.0684
E16-combined	g5-groceries	gemma4	strict_P_lt	0.2
E16-combined	g5-groceries	gemma4	strict_R_lt	0.6429
E16-combined	g5-groceries	gemma4	cred_P_lt	0.2
E16-combined	g5-groceries	gemma4	n_assert	119
E16-baseline	g7-literature	gemma4	strict_macro_f1	0.4033
E16-baseline	g7-literature	gemma4	credited_macro_f1	0.4552
E16-baseline	g7-literature	gemma4	d_strict_f1	0.0
E16-baseline	g7-literature	gemma4	d_credited_f1	0.0
